start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone and welcome to this week's episode of no such thing as a fish, where we were"
00:00:04,00:00:14,"joined by the curator of the Margate Crab Museum, Bertie Trilliams. Now Bertie is someone who"
00:00:14,00:00:19,Dan has known for a very long time. The rest of us met him for the first time during this show
00:00:19,00:00:26,and what a great guy he is. He knows so much stuff about all of his subjects and especially as you
00:00:26,00:00:33,"can imagine, crabs. So if you would like to go to the Margate Crab Museum, then go into Margate,"
00:00:33,00:00:37,"go right into the center because it's right there. I went there this weekend with my daughter,"
00:00:37,00:00:42,she absolutely loved it. She got to see crabs under a microscope. Can you believe that?
00:00:42,00:00:46,And there's all sorts of facts in there. It's absolutely brilliant. But one more thing to say about
00:00:46,00:00:53,"Bertie is that under his guise as the Crab Museum, he has written some books and his latest one is"
00:00:53,00:01:01,"called the No Brain, Brain Explainer. What a great name. It's a book for kids all about the brain."
00:01:01,00:01:06,It's jam packed with facts. You would not believe how many facts are in there and it comes right off
00:01:06,00:01:13,"the back of his previous book, which is called a Natural History of Bums, which as you can imagine."
00:01:13,00:01:18,But people like me is absolutely brilliant. I read it to my daughter the other day and she loved it.
00:01:18,00:01:22,"She was laughing her head off all the way through. So yeah, if you would like to know more about"
00:01:22,00:01:27,"Bertie, they search the internet for Crab Museum. You'll find information about his museum"
00:01:27,00:01:32,"and all of his books that definitely recommend you getting involved with that. But in the meantime,"
00:01:32,00:01:39,enjoy this show with Curator of Europe's No. 1 Crab Museum at Bertie Terillions. On with a podcast.
00:01:40,00:02:00,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:02:00,00:02:06,"from the QI offices in Hobern. My name is Dan Schreiber. I am sitting here with Annotishinsky,"
00:02:06,00:02:11,"James Harkin and Bertie Terillions. And once again, we have gathered around the microphones with"
00:02:11,00:02:17,our four favorite facts from the last seven days and in no particular order here we go. Starting with
00:02:17,00:02:27,"fact number one, and that is Bertie. A briefcase in Thai is a Kapal James Bond. And the reason it is"
00:02:27,00:02:33,is because Kapal just means bag. James Bond obviously means James Bond. But there wasn't a word for
00:02:33,00:02:40,"briefcase in Thai before the James Bond movies were shown in Thailand. Okay, so men with a golden"
00:02:40,00:02:45,"gun, that's what was filmed there. Did briefcases exist in Thailand? Or did they literally see?"
00:02:45,00:02:51,"They probably existed in Thailand, but I think it's quite a niche item that perhaps maybe like"
00:02:51,00:02:56,aristocrats might have had. But there wasn't a popular word for it. And sort of general Thai people
00:02:56,00:03:03,wouldn't have really had much of a need to have really known what a briefcase was. Prior to James Bond.
00:03:03,00:03:07,"I like the question, did briefcases exist, though, as if maybe they had done for hundreds of years,"
00:03:07,00:03:12,"and everyone just didn't know what to do. And they saw one. I like your, what is that hanging from"
00:03:12,00:03:18,"your hand? Probably rectangular black cases existed, but whether or not they were briefcases."
00:03:18,00:03:24,"I think before they had the category of briefcase. Bertie, you're half Thai, right? So this is a"
00:03:24,00:03:30,"word that you saw used in Thailand. Yep, and I did my due diligence and I did check with the"
00:03:30,00:03:35,"aunties. I just said, do you do still use Kapow James Bond for briefcase? And I'm like, oh,"
00:03:35,00:03:40,"yes, I suppose we do. Why do you want to know? Oh, I'm on a podcast. Oh, what's a podcast?"
00:03:40,00:03:47,"I have a whole conversation with them about what my life is now. Maybe in the future in Thailand,"
00:03:47,00:03:54,"it'll be known as a Bertie radio show. Yeah, great coincidence, the word Kapow."
00:03:54,00:04:01,"Yeah, that's lovely Batman-esque feeling. It comes from an old Chinese word pal meaning"
00:04:01,00:04:08,"to rap or a bundle. And actually, our word bag comes from the old Norse word baggy, which means"
00:04:08,00:04:15,"a bundle as well. That's it. As you would imagine, I suppose. We get some words from Thai in English,"
00:04:15,00:04:21,"not that many. There's 27 in the Oxford English dictionary. How many is that? Yeah, most of them"
00:04:21,00:04:28,"are actually like foodstuffs. Bong, the pipe for smoking staff. No way. I'm from a Thai word."
00:04:28,00:04:33,"Tuck-tuck, mode of transport and my Thai, the combat sport and all the others are kind of food"
00:04:33,00:04:39,stuff. There's another Thai word that we use within the world of fish on our WhatsApps to each
00:04:39,00:04:45,other when we say something's funny. 5555. 5555. Yeah. And remind me why that is. It sounds like
00:04:45,00:04:53,"nothing. The 5 is pronounced 'har' in Thai and so 'har' is what I'm saying. It's weird, but it's"
00:04:53,00:04:56,"weird that the Thai have that as well, that it's 'har' because when you laugh, you don't actually"
00:04:56,00:05:03,"go 'har' do you? I do. If you're a Bond villain, you do. You're right. You're right, you're right."
00:05:03,00:05:09,"Correct. There's the one that I kept coming across, I think, because I was looking at Simon's"
00:05:09,00:05:15,"cats in Thailand. And the word for cat is meow, except I don't think I've pronounced it quite right."
00:05:15,00:05:21,"It sounds actually almost more like meow said by Thai. Can you say it? Yeah, there's meow, meow. I"
00:05:21,00:05:26,"think there was another one that you told me, I remember, which is toast and then the difference between"
00:05:26,00:05:35,"toast and toaster. Yes, well, so it's bread and toast. So bread is canomban. So pan comes is a bit like"
00:05:35,00:05:39,"pan is in a pan of chocolate. I think it's a lone word from French, so there's pan for bread."
00:05:39,00:05:46,Canom is a snack because obviously bread is a snack. Anything that's not rice or noodles is a snack
00:05:46,00:05:51,"and is not proper food. Oh, rice. Like, you know, pasta or whatever, like what are those weird noodles?"
00:05:51,00:05:56,"You know, that's not proper food. But they're like proper food is rice and noodles. Got it. Yeah,"
00:05:56,00:06:01,"canomban, which is bread, is like bread snack. And then when you toast bread, it's canomban ping."
00:06:01,00:06:07,Cool. It pops up out of the toast. So the ping is the toaster. The ping is the toast. Really nice.
00:06:07,00:06:11,"Your surname, I introduced you on this show, is Torillians, but that's your married surname. You've"
00:06:11,00:06:16,"changed your name. Yes. But you have, you have a Thai surname, which is surasat."
00:06:16,00:06:22,A surasat. And Thailand has a very interesting thing with its surnames in that everyone has a
00:06:22,00:06:27,"unique surname, basically, when the survey was done, it showed that 81% of people who did the survey"
00:06:27,00:06:32,all had unique surnames and that it's it's picked by the family. Because Thailand is unique. We say
00:06:32,00:06:36,"unique. It's unique. It's unique. It's the family, not to the person. To the family, exactly. Yeah."
00:06:36,00:06:41,"Because up until 1913, there were only given names and then you might say kind of like Leonardo da Vinci"
00:06:41,00:06:47,"of Vinci, you might say where you were from, but it wasn't your surname. And so you've got effectively,"
00:06:47,00:06:53,"I guess, a unique surname. Yeah, I guess so. I mean, well, my surname means honest in Thai, hilarious,"
00:06:53,00:07:00,given the reputation of some of my family members. But that was chosen by a granddad who moved to
00:07:00,00:07:04,"Thailand from Vietnam as a child. And I think as a new immigrant in a new country, calling"
00:07:04,00:07:09,"us up honest, probably a good move. I don't know. It sounds a little bit lady-darth protest too much."
00:07:09,00:07:20,"It wasn't me. Check my name. Well, they're really into nicknames as well. Do you have a nickname,"
00:07:20,00:07:25,in Thai? Or are you not that Thai? Bertie just gets shortened to burr. That's not as good as
00:07:25,00:07:30,"no Thai nicknames. No, I've got like a really long sort of four name and then he just gets"
00:07:30,00:07:35,shortened to burr. I've got like one of our cousins. She's got an amazing name. So she's about like 18
00:07:35,00:07:39,"months old or something. No, she might be a little bit older now. I met her for the first time when"
00:07:39,00:07:45,"I went back in January. And back then that was, well, over the last, well, probably thousand years,"
00:07:45,00:07:49,depending on how you count it. But it flared up again recently. There's the war with Cambodia.
00:07:49,00:07:57,And our family live right on the border with Cambodia. And she was called bomb. She was named because
00:07:57,00:08:01,"of that bombs are going off in the background. But because bomb wasn't cute enough for a girl,"
00:08:01,00:08:06,"they added BEM on the end. So she's bomb BEM. If she'd been born a boy, she would have just been bomb."
00:08:06,00:08:12,"But you can't call a girl BOM. I actually know someone in my village called Zepp short for Zeppelin,"
00:08:12,00:08:17,"named after his great grandfather, who was named Zeppelin in the First World War, when that became"
00:08:17,00:08:22,"a big thing. That actual real name. Real name. First name Zeppelin. And this little boy,"
00:08:22,00:08:27,"this little three-year-old's real name is now Zeppelin. Because, you know, the thing that's attacking you"
00:08:27,00:08:32,"as your mum gives birth. I guess she goes, yeah, why not? I guess I wonder what's going to happen to my"
00:08:32,00:08:36,"daughter when she gets married, because her name's Covid. And they might not have meant that."
00:08:36,00:08:46,"My cousin, bomb BEM, who was named after the bomb, a bomb landed in our grandmother's fish pond,"
00:08:46,00:08:49,sort of at the height of the war. And it kind of sort of flares up every now and again this war.
00:08:49,00:08:52,"The war between Thailand and Cambodia. The war between Thailand and Cambodia, yeah. It's like"
00:08:52,00:08:57,sort of a border dispute that's been going on forever. Most of the time it's kind of fairly relaxed
00:08:57,00:09:02,"as far as wars go. And then it kind of got a little bit more, a little bit more fighting recently."
00:09:02,00:09:06,"But our granny was in the house at the time, and a Cambodian rocket landed in a fish pond."
00:09:06,00:09:10,"And it didn't blow up, because thankfully the Cambodians have rubbish weapons turns out."
00:09:10,00:09:14,And then they sort of splashed water all over. It's quite fighting talk.
00:09:14,00:09:21,"Yeah, well, what are you going to do about it? I think they've all got like kind of Soviet"
00:09:21,00:09:26,"era stock of missiles and things. But anyway, it didn't blow up. But then they phoned up the"
00:09:26,00:09:31,"military police, who sort of sent someone round, and they're kind of sort of undenied. And they"
00:09:31,00:09:36,"just left it there. And because when it landed, it sunk through the water and went deep into mud."
00:09:36,00:09:40,"And they're like, oh, well, it's probably fine then. It's gone into mud. If it landed on solid"
00:09:40,00:09:46,"ground, we would dispose of it. But if it landed in mud, we might get to it at some point."
00:09:46,00:09:49,"So is it still there? It's still there, yes, I don't know."
00:09:49,00:09:53,"Sticking it out of the pond, you can see it. You can't see it. No, it's sunk into the mud."
00:09:53,00:09:58,And it's just sort of south there. And we ended up doing karaoke shortly after.
00:09:58,00:10:04,And they take karaoke very seriously. And my family hired a big like sort of festival-style
00:10:04,00:10:08,"sound system to do karaoke off of. And it's sort of like a few drinks in, which is like, hold on,"
00:10:08,00:10:12,maybe we should turn it down in case we set the bomb off. Like maybe we do. I don't know
00:10:12,00:10:20,"that's how it works. 500, yeah. Tylan doesn't have an alphabet. It doesn't have a true alphabet."
00:10:20,00:10:28,It has something called an abogida. And an abogida is like an alphabet. But instead of using letters
00:10:28,00:10:35,"for vowels, they use diacritical symbols and marks. So if you see Ty written down, and this is"
00:10:35,00:10:41,"outside my wheel zone. So correct me if I'm wrong, Bertie. But you have the word, you have no spaces"
00:10:41,00:10:46,in between the words. And then the vowels are like little sort of squiggles that are above or below
