start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[music]
00:00:13,00:00:20,"Hello and welcome to Little Fish, the new show from no such thing as a fish, the makers of,"
00:00:20,00:00:24,"and this is my first time hosting it, and what do I say aside from that?"
00:00:24,00:00:27,"You sound like we've got a gun to you, I guess."
00:00:27,00:00:30,That's the way I feel every time I come in here.
00:00:30,00:00:34,"First of all, tell everyone the date and the headline on the piece of newspaper that you're holding."
00:00:34,00:00:40,"And then you just have to say who we are, what the show is, and then we'll get into some facts."
00:00:40,00:00:45,"This is when we can't be bothered to do any more research for ourselves, so instead we dip into our"
00:00:45,00:00:49,"inbox and we have a look at all the great facts you've found for us, and we're hoping this"
00:00:49,00:00:54,"eventually becomes a self-making show, and we don't need to do any more work ourselves."
00:00:55,00:01:01,"Thank you for providing some amazing facts this week in our inbox, and who's got a good one to kick us off."
00:01:01,00:01:06,"I've got a good one. Nice to see you all after a long week, as we've had since the last one of"
00:01:06,00:01:09,these that we did. I don't remember what you guys looked like.
00:01:09,00:01:14,"Well, actually it's some cashier minds back all that time, and we were talking about sumo wrestlers,"
00:01:14,00:01:21,"and I have a fact here about sumo from Matthew Bright, and Matthew says that each year professional"
00:01:21,00:01:26,"sumo tournaments in Japan consume about 4,000 kilograms of salt."
00:01:26,00:01:30,"Is that because they throw, don't they throw salt?"
00:01:30,00:01:36,"They throw salt, yeah, so this is what Matthew's worked out, so each tournament lasts 15 days,"
00:01:36,00:01:42,"and they're held six times a year, and each tournament consumes about 650 kilograms of salt,"
00:01:42,00:01:46,"according to our journalist, which Matthew found, and then if you work that all out,"
00:01:46,00:01:51,"it's 4,000 kilograms, and the salt is like to purify the ring."
00:01:51,00:01:56,"Interesting, and for, let you say, ceremonial reasons, and yeah."
00:01:56,00:01:58,Does it grit it as well? Is it give you good?
00:01:58,00:02:00,Because a lot of it is about holding your stem.
00:02:00,00:02:05,"You're absolutely right, but the ring itself is like made, it's got sand in it anyway, I think,"
00:02:05,00:02:09,"which means it's quite well-gritted, but it can't hurt."
00:02:09,00:02:10,"Yeah, especially on a cold day."
00:02:14,00:02:17,"When it's on ice, sumo on ice, it's sumo on ice."
00:02:17,00:02:18,Why is that not the dough?
00:02:18,00:02:20,"I mean, that has to be a thing, doesn't it?"
00:02:20,00:02:24,We're getting a lot of sumo action in London at the moment.
00:02:24,00:02:25,We are.
00:02:25,00:02:28,There's a lot of exhibition matches that have been happening at places like Royal Albert Hall.
00:02:28,00:02:32,Have you ever been walking around London and just seen the sumo wrestlers?
00:02:32,00:02:34,I saw a guy go pass on a bike.
00:02:34,00:02:35,"Yeah, on a bike."
00:02:35,00:02:37,"Oh wow, that's cool, that's a cartoon."
00:02:37,00:02:38,"Are you sure that wasn't a cartoon, you saw?"
00:02:38,00:02:41,"I'm pretty sure I saw him on a bike, it was just down the road,"
00:02:41,00:02:42,"and yeah, they were all over it."
00:02:42,00:02:43,"Well, certainly when they were in town,"
00:02:43,00:02:44,you would see them everywhere.
00:02:44,00:02:47,"Was he on a, like, a child's bike?"
00:02:47,00:02:48,"Tiny, tiny."
00:02:48,00:02:49,"They didn't look like that, probably."
00:02:49,00:02:55,"Yeah, I've seen the, I went to the final of the year of sumo in Tokyo when I was there,"
00:02:55,00:02:58,"which was very cool, but it was the day we arrived,"
00:02:58,00:03:00,"and we were so jet-lagged, we both fell asleep."
00:03:00,00:03:02,That's middle of the tunnel.
00:03:02,00:03:03,"Oh, no."
00:03:03,00:03:06,I felt like people should have been throwing salt at us to keep this all down.
00:03:06,00:03:06,Spelling salt.
00:03:06,00:03:08,"Yeah, shut those out."
00:03:08,00:03:08,Yeah.
00:03:08,00:03:10,Do you want to throw salt over your shoulder for good luck?
00:03:10,00:03:11,When you use it.
00:03:11,00:03:13,"Yeah, even though I know it's stupid,"
00:03:13,00:03:15,"and I'm not very superstitious, generally,"
00:03:15,00:03:16,"I just like, I think it's cool."
00:03:16,00:03:19,And it is cool.
00:03:19,00:03:20,"I have found myself in restaurants going,"
00:03:20,00:03:21,"""Who's that cool guy?"""
00:03:21,00:03:23,The salt thing.
00:03:23,00:03:24,I wouldn't do it in the restaurant.
00:03:24,00:03:26,"It's when I'm cooking, and I spill some."
00:03:26,00:03:27,"Ah, okay, right."
00:03:27,00:03:28,It's when you spill it.
00:03:28,00:03:30,"Not when you put it on your food, right?"
00:03:30,00:03:30,Yes.
00:03:30,00:03:31,What do you mean when you spill it?
00:03:31,00:03:33,"Like, that's the idea with the,"
00:03:33,00:03:35,"so you spill salt, and that's very bad luck,"
00:03:35,00:03:38,and so you throw some over your shoulder into the devil's face.
00:03:38,00:03:41,"Oh, we just did it whenever we saw anything."
00:03:41,00:03:43,"Salt thing, and then toss it over your shoulder."
00:03:43,00:03:44,I'm not that cool.
00:03:44,00:03:46,"Well, I've always been a few wrongs above you, haven't I?"
00:03:46,00:03:51,"But since being the person who cleansed the house,"
00:03:51,00:03:53,"rather than my mother when I was a kid, but we all did it,"
00:03:53,00:03:54,"I've realised it's incredibly annoying,"
00:03:54,00:03:56,I bet I wouldn't let anyone do that in my house.
00:03:56,00:03:57,It's just salt on the floor the whole time.
00:03:57,00:04:00,"Yeah, that's true, but at least you're not sliffing over,"
00:04:00,00:04:02,and it's also purified spiritually.
00:04:02,00:04:02,There you go.
00:04:02,00:04:04,That's why there's no ghost in your house.
00:04:04,00:04:05,"Do you know that summa wrestlers,"
00:04:05,00:04:06,"if you're a summa wrestler,"
00:04:06,00:04:12,you are associated with a 9.8 year negative lifespan
00:04:12,00:04:14,compared to a non summa wrestler.
00:04:14,00:04:15,"It does make a bit of sense, doesn't it?"
00:04:15,00:04:19,"It does, but actually, like, most, obviously, most sports."
00:04:19,00:04:21,"If you do them, you have a longer lifespan."
00:04:21,00:04:21,Yeah.
00:04:21,00:04:23,"Because you, you know, if you're a gymnast,"
00:04:23,00:04:29,"you have a 8.2 years higher life expectancy,"
00:04:29,00:04:31,and there is one sport.
00:04:31,00:04:33,"Sorry, that's unbelievable."
00:04:33,00:04:35,8.2 year higher life expectancy.
00:04:35,00:04:36,Is it too late?
00:04:36,00:04:37,It's not a gymnast.
00:04:37,00:04:40,"For you to be a gymnast, I'm afraid so, I don't know."
00:04:40,00:04:42,"They're usually about 14, haven't they?"
00:04:42,00:04:43,Yeah.
00:04:43,00:04:44,Max.
00:04:44,00:04:47,What an amazing sudden entry into the British.
00:04:47,00:04:50,Former podcaster.
00:04:50,00:04:51,I was just kidding.
00:04:51,00:04:54,Quite last year to become the Roli Poli specialist.
00:04:54,00:05:02,"There is one sport, according to this study they read this in,"
00:05:02,00:05:06,"that has a higher improvement of life expectancy,"
00:05:06,00:05:10,"and I can't find out why, and it doesn't make any sense,"
00:05:10,00:05:11,but do you want to guess what it is?
00:05:11,00:05:12,"Yeah, okay."
00:05:12,00:05:13,Curling.
00:05:13,00:05:14,"Curling, no."
00:05:14,00:05:15,It's a good question.
00:05:15,00:05:16,"Skateboarding, no."
00:05:16,00:05:18,It is pole vaulting.
00:05:18,00:05:22,Polevolters live on average 8.4 years
00:05:22,00:05:24,longer than the rest of us.
00:05:24,00:05:27,"Must be something to do with the clean air they're getting access to,"
00:05:27,00:05:29,"I believe, to top it."
00:05:29,00:05:30,"Definitely, yeah."
00:05:30,00:05:34,"Or maybe you know, like, there's something about special relativity"
00:05:34,00:05:36,if you're in space like time slows down or something.
00:05:36,00:05:38,"Oh, yes, you don't age."
00:05:38,00:05:39,Of course.
00:05:39,00:05:40,I'm traveling.
00:05:40,00:05:41,"Oh, wow."
00:05:41,00:05:44,They must have got better since I last watched the pole vault
00:05:44,00:05:45,for getting that high.
00:05:45,00:05:46,It's really fun these days.
00:05:46,00:05:48,They go up and they come down three years younger.
