start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"You know what it is, don't worry about it."
00:00:06,00:00:18,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming"
00:00:18,00:00:21,to you from the QI offices in Hobern.
00:00:21,00:00:26,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, Anna Toshinsky and"
00:00:26,00:00:27,James Harkin.
00:00:27,00:00:30,"And once again, we have gathered around the microphones with our four favorite facts"
00:00:30,00:00:35,"from the last seven days, and in no particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, that is Andy."
00:00:38,00:00:44,"My fact is, in 1886 there was a national craze for pushing a wheelbarrow the entire length"
00:00:44,00:00:45,of Britain.
00:00:45,00:00:46,Fun.
00:00:46,00:00:47,Do you have TV?
00:00:47,00:00:48,No TV.
00:00:48,00:00:51,A problem that can be resolved by TV.
00:00:51,00:00:55,"Craze is a big word, that means a lot, a lot of people would have had the rise of"
00:00:55,00:00:56,jammed.
00:00:56,00:00:59,The main guy was called Bob Carlisle.
00:00:59,00:01:01,He did this in 1879.
00:01:01,00:01:05,"He pushed a wheelbarrow from Landsend, which for international as the very, very far southwest"
00:01:05,00:01:10,"corner of the UK, to John O'Grotes, which is the very, very furthest north-east corner"
00:01:10,00:01:11,of the UK.
00:01:11,00:01:17,"And obviously the furthest tip of Scotland, it's what, a thousand miles as a pro flies,"
00:01:17,00:01:19,it's six hundred and three miles.
00:01:19,00:01:20,Yeah.
00:01:20,00:01:24,"So you wiggle around a bit and depending on your route, it will come to maybe six hundred"
00:01:24,00:01:27,or fifty-seven hundred miles.
00:01:27,00:01:32,So he did this and it was kind of funny and it was a good stunt it got in the papers.
00:01:32,00:01:37,He did exploits and sort of fun stunts all the way through his life.
00:01:37,00:01:42,And then several years later there was a bit of a resurgence in popularity and lots of people
00:01:42,00:01:45,started doing it again as stunts.
00:01:45,00:01:49,"And really between the lines it seems to have been a bit of a, not a charity thing, but"
00:01:49,00:01:53,"if you were broke and you wanted to raise lots of money for yourself, you know, this was"
00:01:53,00:01:54,the thing you could do.
00:01:54,00:01:55,"I mean, it's grueling to do."
00:01:55,00:01:56,Yeah.
00:01:56,00:01:59,"So he just lost his job, this Carl Isle guy, right?"
00:01:59,00:02:02,He lost his job for walking a tiger without a leash.
00:02:02,00:02:03,Right.
00:02:03,00:02:04,Okay.
00:02:04,00:02:06,"And they said, right, you're not coming back to Woolworth's after that."
00:02:06,00:02:09,"No, he worked in a circus."
00:02:09,00:02:12,I think it was without a muzzle as opposed to a lead.
00:02:12,00:02:13,Yes.
00:02:13,00:02:14,Sorry.
00:02:14,00:02:17,"And he got kicked out of the circus and he thought, well, I don't have any money, but"
00:02:17,00:02:21,"I've heard that in America, a lot of people are walking around, so maybe I'll copy"
00:02:21,00:02:24,what they're doing over here and become famous.
00:02:24,00:02:25,Yeah.
00:02:25,00:02:26,Okay.
00:02:26,00:02:27,And add a wheelbarrow.
00:02:27,00:02:30,"Well, there was also a couple of Americans who'd walked from the east coast to the west coast"
00:02:30,00:02:33,"of America with wheelbarrow, so we probably took the idea from them."
00:02:33,00:02:34,He was inspired by them.
00:02:34,00:02:35,Yeah.
00:02:35,00:02:37,"He was, I mean, he had an amazing career, didn't he?"
00:02:37,00:02:38,He was a clown.
00:02:38,00:02:39,He worked in the circus.
00:02:39,00:02:40,He was a sailor.
00:02:40,00:02:42,He was overseas a lot.
00:02:42,00:02:44,And he was a real promoter.
00:02:44,00:02:47,"He used to, when he was in the circus, go to towns ahead of them arriving and he would"
00:02:47,00:02:53,"build up the enthusiasm, the ticket sales, posters, PR, and that's exactly what he did with"
00:02:53,00:02:54,this.
00:02:54,00:02:58,"He would make sure that when he was in a town and taking rest, that he would write all the"
00:02:58,00:03:02,"papers saying, this amazing guy is coming to your town next."
00:03:02,00:03:03,Be ready.
00:03:03,00:03:07,Have everyone out to meet him and he would then arrive in the town and give improvised speeches
00:03:07,00:03:13,"on the steps of the town hall, but not about the walk, just about I was a clown who walked"
00:03:13,00:03:14,animals.
00:03:14,00:03:15,I was overseas.
00:03:15,00:03:17,I think he was talking about temperance a lot.
00:03:17,00:03:18,Yeah.
00:03:18,00:03:19,That was a big thing for him.
00:03:19,00:03:20,Yeah.
00:03:20,00:03:21,A big temperance guy.
00:03:21,00:03:22,And then was it him who sort of renaged on that?
00:03:22,00:03:26,Didn't he say that he was going to do the whole walk being T-Total and then at the end when
00:03:26,00:03:27,he was interviewed?
00:03:27,00:03:28,"He said, do you know what?"
00:03:28,00:03:32,"Actually, I realised it was better for me to have a little bit to drink on root to make"
00:03:32,00:03:33,it.
00:03:33,00:03:34,"Yeah, basically."
00:03:34,00:03:38,"He basically said at the styles, like everyone shouldn't drink alcohol and then by"
00:03:38,00:03:39,"the end he went, you know what?"
00:03:39,00:03:43,"Some people should drink alcohol, like people who have walked eight hundred miles."
00:03:43,00:03:46,This guy to probably do with a pint.
00:03:46,00:03:47,Absolutely fair enough.
00:03:47,00:03:48,Yeah.
00:03:48,00:03:50,It's a bit tragic because he did this.
00:03:50,00:03:54,"He got some attention and a little bit of money, I think, but not a huge amount."
00:03:54,00:03:57,"And then when the whole craze kicked off seven years later, he was in China."
00:03:57,00:03:58,He missed it.
00:03:58,00:03:59,Yeah.
00:03:59,00:04:00,Yeah.
00:04:00,00:04:01,He was looking for new types of wheelbarrow.
00:04:01,00:04:02,I think he was.
00:04:02,00:04:04,"Because that's a niche callback, isn't it?"
00:04:04,00:04:05,Oh my god.
00:04:05,00:04:06,Wonderful.
00:04:06,00:04:07,I think that's like episode two.
00:04:07,00:04:08,"Callback, basically."
00:04:08,00:04:10,What's it to again?
00:04:10,00:04:15,"It's a fact that I read a Paul Theroux book, which is he was talking to someone in China and"
00:04:15,00:04:20,"they said all the things they invented, paper, you know, dynamite, all this stuff, fireworks,"
00:04:20,00:04:21,wheelbarrows.
00:04:21,00:04:24,"And then he leans into Paul Theroux and says, we've even got wheelbarrows here in the east"
